CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"420690 Ibirama";6;3;6;6;12;11;2;1;1;3;2;9;-;6;1;1;-;1;1;72
"420700 Içara";3;6;8;6;13;26;13;3;-;11;3;20;-;10;-;-;-;3;26;151
"420710 Ilhota";-;1;2;-;-;7;-;-;-;3;-;4;-;1;-;-;-;-;-;18
"420720 Imaruí";-;2;1;1;4;6;2;-;-;-;-;8;-;2;1;-;-;-;8;35
"420730 Imbituba";5;12;6;3;20;21;12;3;1;5;2;31;2;9;1;2;-;9;9;153
"420740 Imbuia";-;-;1;-;3;3;-;1;1;-;1;1;-;1;-;-;-;-;-;12
"420750 Indaial";3;4;8;21;24;25;6;5;-;7;3;38;-;7;1;2;-;7;16;177
"420757 Iomerê";-;2;1;-;1;1;-;-;-;-;1;1;1;1;-;-;-;-;-;9
"420760 Ipira";1;1;2;2;3;5;1;-;-;-;-;4;-;1;-;-;-;-;-;20
"420765 Iporã do Oeste";1;2;3;1;2;5;1;1;-;-;1;7;-;3;-;1;-;2;-;30
"420768 Ipuaçu";-;3;1;-;2;4;4;1;-;-;1;3;1;1;-;-;-;-;2;23
"420770 Ipumirim";-;2;2;-;4;4;3;-;-;1;1;7;-;1;-;-;-;1;-;26
"420775 Iraceminha";-;3;1;-;-;2;1;1;-;1;1;2;-;1;-;-;-;-;4;17
"420780 Irani";-;2;3;1;2;5;5;1;-;1;1;4;1;3;-;1;-;-;4;34
"420785 Irati";-;1;-;-;-;1;1;-;-;1;-;1;-;1;-;-;-;-;-;6
"420790 Irineópolis";1;1;3;1;-;7;2;-;-;1;1;3;-;1;-;-;-;-;-;21
"420800 Itá";3;1;4;-;1;6;2;1;-;1;-;5;-;3;-;-;-;1;1;29
"420810 Itaiópolis";-;2;4;1;13;10;4;1;-;-;2;8;-;2;1;-;-;1;1;50
"420820 Itajaí";9;16;46;63;120;120;56;21;6;26;15;201;14;48;6;9;2;91;29;898
"420830 Itapema";1;2;13;-;8;20;10;7;2;7;3;29;1;8;2;-;-;1;5;119
"420840 Itapiranga";1;1;4;3;1;7;4;1;-;3;-;9;-;4;-;-;-;1;3;42
"420845 Itapoá";-;-;2;-;4;10;3;1;-;2;-;3;-;2;-;-;-;-;-;27
"420850 Ituporanga";3;3;5;4;8;15;2;3;-;3;3;10;-;2;-;2;-;4;-;67
"420860 Jaborá";-;2;2;-;1;2;2;-;-;-;1;4;-;2;-;-;-;-;4;20
"420870 Jacinto Machado";-;-;4;4;1;7;2;-;-;2;1;5;-;1;-;-;-;-;-;27
"420880 Jaguaruna";-;2;4;1;6;9;3;-;-;2;-;12;1;2;-;1;-;1;14;58
"420890 Jaraguá do Sul";14;13;31;36;97;68;45;11;1;5;10;131;16;31;3;11;-;29;15;567
"420895 Jardinópolis";-;1;2;-;-;1;2;-;-;-;-;2;-;1;-;-;-;-;-;9
"420900 Joaçaba";25;8;13;8;44;30;23;6;6;5;3;45;4;23;1;3;-;36;19;302
"420910 Joinville";50;42;136;111;471;394;210;62;27;34;30;481;36;152;11;30;1;299;94;2671
"420915 José Boiteux";-;2;1;-;4;2;1;-;-;-;-;2;-;2;-;-;-;1;-;15
"420917 Jupiá";-;1;1;-;-;2;1;-;-;-;1;2;-;1;-;-;-;-;1;10
"420920 Lacerdópolis";-;1;2;-;-;2;1;-;-;-;-;2;-;2;-;-;-;-;-;10
"420930 Lages";17;22;24;62;120;128;81;19;3;20;12;237;-;67;2;10;-;48;34;906
"420940 Laguna";3;6;14;7;23;22;12;1;2;8;3;21;3;8;-;-;-;7;5;145
"420945 Lajeado Grande";-;1;1;-;-;1;-;-;-;-;1;3;-;1;-;-;-;-;-;8
"420950 Laurentino";-;1;2;-;1;3;1;-;-;1;-;3;-;2;1;-;-;-;-;15
"420960 Lauro Muller";1;4;2;1;5;8;4;2;-;-;1;9;-;3;1;-;-;-;2;43
"420970 Lebon Régis";-;1;4;-;1;5;2;1;-;-;-;2;-;2;-;-;-;-;7;25
"420980 Leoberto Leal";-;1;1;-;1;2;2;-;-;2;-;3;-;2;-;-;-;-;-;14
"420985 Lindóia do Sul";-;1;1;-;2;2;1;-;-;-;-;3;-;-;-;1;-;-;-;11
"420990 Lontras";-;1;2;-;-;3;1;1;-;1;1;2;-;1;-;-;-;-;-;13
"421000 Luiz Alves";-;1;2;-;2;7;-;1;-;1;-;8;-;2;-;-;-;1;-;25
"421003 Luzerna";-;1;1;-;2;2;-;-;-;1;-;3;-;2;-;-;-;1;1;14
"421005 Macieira";-;1;1;-;-;2;1;-;1;1;-;1;-;-;-;-;-;-;-;8
"421010 Mafra";14;4;10;5;53;43;15;8;2;7;3;26;1;12;1;-;-;15;21;240
"421020 Major Gercino";-;1;2;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;-;8
"421030 Major Vieira";1;-;-;1;4;4;-;-;-;1;1;4;-;2;-;-;-;1;-;19
"421040 Maracajá";-;1;2;-;1;2;2;1;-;1;-;3;-;1;-;-;-;-;-;14
"421050 Maravilha";3;4;8;5;5;13;5;2;1;3;2;10;-;10;-;1;-;2;4;78
"421055 Marema";-;1;1;-;-;1;1;-;-;1;1;1;-;1;-;-;-;-;1;9
"421060 Massaranduba";-;2;4;-;4;7;1;-;-;-;1;11;-;2;-;-;-;-;-;32
"421070 Matos Costa";-;1;-;-;1;3;1;-;-;-;-;1;-;1;-;-;-;-;-;8
"421080 Meleiro";-;2;1;-;7;8;1;-;-;1;-;5;-;2;-;-;-;-;-;27
"421085 Mirim Doce";-;-;-;-;-;1;1;-;-;-;1;2;-;2;-;-;-;-;-;7
"421090 Modelo";2;1;3;-;1;3;3;-;-;-;-;2;-;3;-;-;-;-;6;24
"421100 Mondaí";4;2;3;1;2;5;2;1;-;-;1;4;-;2;-;-;-;-;3;30
"421105 Monte Carlo";-;-;-;-;5;9;2;-;-;1;-;8;-;2;-;-;-;-;-;27
"421110 Monte Castelo";-;2;1;-;3;6;2;-;-;-;-;1;-;2;-;-;-;-;10;27
"421120 Morro da Fumaça";-;3;5;-;5;9;4;1;-;2;2;3;1;1;-;-;-;-;15;51
"421125 Morro Grande";-;2;1;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"421130 Navegantes";1;3;9;-;7;16;16;5;2;9;-;33;1;5;1;-;-;3;12;123
"421140 Nova Erechim";2;1;3;1;-;2;1;-;-;-;-;2;-;1;-;-;-;-;-;13
"421145 Nova Itaberaba";-;2;2;-;-;2;1;-;-;-;-;3;-;-;-;-;-;-;-;10
"421150 Nova Trento";-;-;2;2;2;5;4;2;-;-;1;4;-;-;-;1;-;1;1;25
"421160 Nova Veneza";1;2;4;2;7;7;6;-;-;1;4;9;1;5;1;-;-;1;2;53
"421165 Novo Horizonte";-;1;1;-;-;1;1;-;-;1;-;2;-;1;-;-;-;-;-;8
"421170 Orleans";-;2;5;1;4;13;7;-;1;7;-;10;1;4;-;-;-;2;12;69
"421175 Otacílio Costa";1;2;3;1;4;7;1;2;-;4;-;7;-;2;-;-;-;-;14;48
"421180 Ouro";-;1;1;-;-;2;1;-;-;-;-;2;-;2;-;-;-;-;-;9
"421185 Ouro Verde";-;2;1;-;-;-;1;-;-;1;1;1;-;2;-;-;-;-;2;11
"421187 Paial";-;1;1;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;1;7
"421189 Painel";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"421190 Palhoça";1;6;9;3;33;61;10;2;2;22;5;42;5;21;5;2;-;13;2;244
"421200 Palma Sola";8;3;2;-;-;7;2;1;-;-;1;7;-;2;1;-;-;-;4;38
"421205 Palmeira";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421210 Palmitos";-;4;8;7;3;16;5;1;-;1;2;12;-;6;-;-;-;2;10;77
"421220 Papanduva";1;2;6;7;-;9;5;1;-;2;-;8;-;5;-;-;-;1;9;56
"421223 Paraíso";-;1;1;-;-;2;1;-;-;2;1;3;-;1;-;-;-;-;1;13
"421225 Passo de Torres";-;1;1;-;2;4;2;1;1;1;-;2;-;2;-;-;-;-;1;18
"421227 Passos Maia";-;1;2;-;-;3;-;-;-;2;-;4;-;-;-;-;-;-;-;12
"421230 Paulo Lopes";-;1;2;-;-;4;1;-;-;-;-;3;-;1;-;-;-;-;-;12
"421240 Pedras Grandes";-;1;1;-;-;3;1;-;-;2;1;1;-;-;-;-;-;1;-;11
"421250 Penha";1;-;5;2;4;12;1;1;-;-;-;10;-;1;-;-;-;1;-;38
"421260 Peritiba";1;1;1;1;1;3;1;-;-;-;1;2;-;1;-;-;-;-;1;14
"421270 Petrolândia";-;1;1;-;1;2;1;-;-;-;-;3;-;1;-;-;-;-;-;10
"421290 Pinhalzinho";-;2;6;1;10;9;5;3;-;1;1;17;1;5;-;-;-;-;22;83
"421300 Pinheiro Preto";-;1;-;-;1;3;1;1;-;1;-;3;1;2;-;-;-;-;-;14
"421310 Piratuba";-;2;1;-;-;3;2;1;-;-;-;2;-;1;-;-;-;-;-;12
"421315 Planalto Alegre";-;1;1;-;1;1;-;-;-;-;-;4;-;1;-;-;-;-;-;9
"421320 Pomerode";-;-;5;5;8;13;4;2;-;3;2;13;1;3;-;-;-;7;7;73
"421330 Ponte Alta";-;-;1;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"421335 Ponte Alta do Norte";-;2;1;-;-;1;1;-;-;-;-;3;-;-;-;-;-;-;-;8
"421340 Ponte Serrada";-;1;5;-;2;6;2;-;-;2;-;4;-;2;-;1;-;-;6;31
"421350 Porto Belo";-;1;3;-;4;10;2;-;-;3;1;11;1;2;-;-;-;1;-;39
"421360 Porto União";3;7;11;7;28;20;11;3;3;3;4;21;3;10;3;2;-;18;12;169
"421370 Pouso Redondo";3;2;2;2;2;7;5;-;-;2;1;6;-;-;-;-;-;-;1;33
"421380 Praia Grande";-;-;3;1;1;5;2;-;1;1;-;5;1;-;-;-;-;2;-;22
"421390 Presidente Castello Branco";-;1;1;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"421400 Presidente Getúlio";-;2;2;1;6;6;3;1;-;2;-;7;-;2;-;-;-;2;5;39
"421410 Presidente Nereu";-;-;-;-;-;2;1;-;-;-;1;1;-;1;-;-;-;-;1;7
"421415 Princesa";-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"421420 Quilombo";-;2;2;4;3;9;1;2;-;-;1;3;-;4;-;-;-;1;20;52
"421430 Rancho Queimado";-;1;1;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;9
"421440 Rio das Antas";-;2;2;-;2;2;2;-;-;-;-;3;-;1;-;-;-;-;-;14
"421450 Rio do Campo";-;1;1;-;1;3;-;-;-;1;1;2;-;1;-;-;-;-;-;11
"421460 Rio do Oeste";-;1;1;-;1;3;-;-;-;1;1;2;-;1;-;-;-;1;-;12
"421480 Rio do Sul";17;5;18;13;88;51;18;7;-;10;5;67;1;38;-;8;-;40;4;390
"421470 Rio dos Cedros";-;1;3;-;3;4;-;1;-;-;1;3;-;1;-;-;-;-;-;17
"421490 Rio Fortuna";1;2;3;1;2;4;2;-;-;-;1;3;1;1;-;-;-;1;5;27
"421500 Rio Negrinho";3;2;6;3;22;19;5;2;1;2;1;24;3;3;-;1;-;6;1;104
"421505 Rio Rufino";-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421507 Riqueza";-;1;1;-;1;2;-;-;-;1;1;2;-;1;-;-;-;-;-;10
"421510 Rodeio";-;2;2;-;6;3;2;1;-;-;1;5;-;1;1;-;-;1;-;25
"421520 Romelândia";-;2;1;1;-;1;1;-;-;-;-;2;-;2;1;-;-;-;6;17
"421530 Salete";4;1;1;-;-;3;1;-;-;-;1;5;-;-;-;-;-;-;-;16
"421535 Saltinho";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421540 Salto Veloso";-;2;1;2;-;4;2;-;-;-;2;3;-;3;-;1;-;-;-;20
"421545 Sangão";-;1;2;-;1;7;1;-;-;2;1;2;-;1;-;-;-;-;-;18
"421550 Santa Cecília";1;3;2;1;4;9;6;2;-;-;1;4;-;5;-;-;-;-;4;42
"421555 Santa Helena";-;-;1;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;5
"421560 Santa Rosa de Lima";-;1;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;5
"421565 Santa Rosa do Sul";-;1;1;-;1;4;-;-;-;1;-;3;-;-;-;-;-;-;-;11
"421567 Santa Terezinha";-;1;-;-;-;3;-;1;-;3;1;2;-;1;-;-;-;-;-;12
"421568 Santa Terezinha do Progresso";-;1;1;-;-;2;1;-;-;1;1;1;-;-;-;-;-;-;-;8
"421569 Santiago do Sul";-;1;1;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;6
"421570 Santo Amaro da Imperatriz";2;3;5;8;6;11;3;1;1;2;-;13;-;2;-;-;-;2;11;70
"421580 São Bento do Sul";2;6;14;10;51;35;16;9;3;7;8;53;2;17;-;2;-;22;8;265
"421575 São Bernardino";-;1;2;-;-;1;-;-;-;1;1;2;-;1;-;-;-;-;-;9
"421590 São Bonifácio";-;-;1;-;-;3;1;1;-;1;-;2;-;-;-;-;-;-;1;10
"421600 São Carlos";4;2;4;2;2;6;3;1;-;-;1;6;-;2;-;-;-;1;3;37
"421605 São Cristovão do Sul";-;-;1;-;-;2;1;-;-;-;1;1;-;1;-;-;-;-;-;7
"421610 São Domingos";-;4;3;-;2;5;4;-;-;2;1;5;-;2;-;-;-;-;1;29
"421620 São Francisco do Sul";3;3;5;5;14;19;11;2;2;-;2;16;-;6;-;-;-;3;6;97
"421630 São João Batista";-;2;4;1;5;12;3;1;-;1;1;14;-;2;-;-;-;-;7;53
"421635 São João do Itaperiú";-;-;1;-;1;2;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"421625 São João do Oeste";2;1;1;-;-;4;2;-;-;-;1;2;-;2;-;-;-;-;7;22
"421640 São João do Sul";-;2;4;-;1;4;1;1;1;2;-;2;1;2;-;-;-;1;8;30
"421650 São Joaquim";-;3;3;3;9;8;4;-;-;-;1;18;-;2;-;-;-;-;5;56
"421660 São José";27;27;26;7;102;143;31;18;5;28;8;93;18;29;26;3;-;35;97;723
"421670 São José do Cedro";1;2;3;5;-;5;2;1;-;2;1;10;-;4;-;-;-;-;7;43
"421680 São José do Cerrito";-;1;-;-;-;5;-;1;-;-;-;2;-;1;-;-;-;-;14;24
"421690 São Lourenço do Oeste";9;2;5;2;7;15;8;2;-;4;3;24;-;2;1;-;-;1;14;99
"421700 São Ludgero";-;-;2;-;-;3;1;-;-;2;-;4;-;-;-;1;-;-;-;13
"421710 São Martinho";-;1;2;-;1;4;-;-;-;-;-;2;-;1;-;-;-;-;-;11
"421715 São Miguel da Boa Vista";-;1;1;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;7
"421720 São Miguel do Oeste";2;5;14;4;27;24;8;2;2;5;2;39;2;18;-;2;-;14;5;175
"421725 São Pedro de Alcântara";-;4;1;-;1;6;-;-;-;2;-;5;-;4;1;-;-;-;2;26
"421730 Saudades";1;2;2;1;2;3;1;-;-;-;1;5;-;-;-;-;-;-;-;18
"421740 Schroeder";-;3;3;-;2;4;1;1;-;2;1;5;-;3;-;-;-;-;2;27
"421750 Seara";5;2;3;4;1;12;7;1;1;1;-;14;-;5;-;-;-;1;-;57
"421755 Serra Alta";-;2;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;6
"421760 Siderópolis";-;2;2;-;1;6;5;1;-;2;-;2;-;4;-;-;-;-;-;25
"421770 Sombrio";8;1;4;1;1;13;7;-;1;5;-;9;-;-;-;-;-;2;-;52
"421775 Sul Brasil";-;1;1;-;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;6
"421780 Taió";4;1;3;5;4;10;3;1;-;3;-;8;2;1;-;1;-;-;-;46
"421790 Tangará";2;1;3;1;8;5;2;2;-;1;-;4;-;1;-;-;-;-;2;32
"421795 Tigrinhos";-;1;1;-;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;7
"421800 Tijucas";4;2;6;2;14;28;4;5;-;7;4;34;1;4;-;1;-;-;12;128
"421810 Timbé do Sul";-;-;-;1;2;4;-;-;-;-;-;3;-;-;-;-;-;-;-;10
"421820 Timbó";1;7;10;2;14;32;9;2;4;9;3;25;5;8;-;-;-;6;21;158
"421825 Timbó Grande";-;-;2;-;1;3;1;-;-;1;-;2;-;1;-;-;-;-;-;11
"421830 Três Barras";1;4;1;-;10;15;5;1;1;2;1;5;-;3;-;-;-;1;3;53
"421835 Treviso";-;1;1;-;1;2;1;-;-;2;1;3;-;-;-;-;-;-;-;12
"421840 Treze de Maio";2;2;3;-;2;5;-;-;-;1;-;2;-;1;-;-;-;-;-;18
"421850 Treze Tílias";-;-;1;-;2;3;2;-;-;1;1;6;-;1;-;-;-;-;-;17
"421860 Trombudo Central";-;1;1;-;8;5;1;-;-;-;-;6;-;2;-;-;-;-;1;25
"421870 Tubarão";3;15;16;37;75;73;28;11;6;17;12;86;10;31;5;5;-;60;34;524
"421875 Tunápolis";1;1;1;1;3;5;1;-;-;-;1;4;-;3;-;-;-;-;-;21
"421880 Turvo";-;2;3;1;7;4;4;-;1;3;1;7;-;1;-;-;-;-;-;34
"421885 União do Oeste";-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"421890 Urubici";1;1;3;4;-;8;-;-;1;-;1;4;-;2;-;-;-;-;16;41
"421895 Urupema";-;1;-;-;1;1;1;1;-;-;1;1;-;1;-;-;-;-;-;8
"421900 Urussanga";1;3;6;1;10;17;7;-;-;5;2;11;2;4;-;-;-;-;1;70
"421910 Vargeão";2;1;3;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"421915 Vargem";-;1;1;-;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;6
"421917 Vargem Bonita";-;2;-;-;-;3;-;1;-;1;-;2;-;1;-;-;-;1;-;11
"421920 Vidal Ramos";-;1;1;1;1;2;1;-;-;-;-;4;-;1;-;-;-;-;-;12
"421930 Videira";19;7;7;1;15;19;8;2;5;1;6;16;4;8;-;3;-;15;23;159
"421935 Vitor Meireles";-;1;1;1;2;3;-;-;-;-;-;2;-;1;-;-;-;-;-;11
"421940 Witmarsum";-;1;1;-;1;2;-;-;-;-;-;1;-;1;-;-;-;-;-;7
"421950 Xanxerê";3;6;16;6;19;37;13;2;5;7;4;48;6;10;2;4;-;18;16;222
"421960 Xavantina";2;2;2;1;-;4;1;-;-;1;1;2;-;1;-;-;-;-;-;17
"421970 Xaxim";2;4;8;4;5;12;6;-;1;4;1;25;-;5;-;-;-;1;5;83
"421985 Zortéa";-;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;5
"430003 Aceguá";2;1;2;-;1;5;1;-;-;-;1;3;-;1;-;-;-;-;-;17
"430005 Água Santa";-;-;-;-;1;3;1;-;-;-;1;4;-;-;-;-;-;-;-;10
"430010 Agudo";2;-;5;4;9;6;5;1;-;-;1;4;1;-;-;1;-;-;1;40
"430020 Ajuricaba";2;1;2;-;2;4;5;1;-;1;3;3;-;3;-;1;-;-;3;31
"430030 Alecrim";2;1;2;-;-;5;-;-;-;-;-;3;-;-;-;1;-;-;-;14
"430040 Alegrete";2;2;18;9;46;26;15;6;1;1;9;24;4;18;-;1;-;17;9;208
"430045 Alegria";-;2;1;-;1;1;1;3;-;-;-;2;-;-;-;-;-;-;5;16
"430047 Almirante Tamandaré do Sul";-;1;1;-;1;2;-;-;-;-;-;2;1;1;-;-;-;-;-;9
"430050 Alpestre";3;1;2;1;-;4;3;-;-;1;1;1;-;-;-;1;-;-;-;18
"430055 Alto Alegre";-;1;-;-;-;1;1;1;-;-;1;2;-;1;-;-;-;-;-;8
"430057 Alto Feliz";-;1;-;-;1;1;1;-;1;-;1;3;1;2;-;-;-;-;-;12
"430060 Alvorada";9;9;24;22;36;73;18;7;22;28;2;28;29;17;7;2;-;29;4;366
"430063 Amaral Ferrador";-;1;1;-;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"430064 Ametista do Sul";2;-;3;1;-;5;2;1;-;1;1;3;-;1;-;-;-;-;-;20
"430066 André da Rocha";-;1;-;-;1;1;-;-;-;-;1;1;1;-;-;-;-;-;-;6
"430070 Anta Gorda";1;-;1;-;1;4;3;1;-;2;1;2;1;1;-;1;-;2;-;21
"430080 Antônio Prado";2;2;6;7;2;7;2;3;-;2;3;5;-;3;1;1;-;6;5;57
"430085 Arambaré";-;-;-;-;2;2;1;-;-;-;-;2;-;-;-;-;-;-;-;7
"430087 Araricá";-;-;-;-;1;2;1;-;-;-;-;3;-;2;-;-;-;-;-;9
"430090 Aratiba";1;1;2;-;4;3;3;1;1;1;-;3;-;-;-;1;-;1;-;22
"430100 Arroio do Meio";3;1;3;4;14;12;6;-;-;1;1;10;-;2;-;-;-;2;1;60
"430107 Arroio do Padre";-;1;3;-;4;1;1;-;1;-;1;3;-;1;-;-;-;-;-;16
"430105 Arroio do Sal";-;-;2;1;8;8;1;-;1;-;1;3;1;3;1;-;-;1;1;32
"430120 Arroio do Tigre";2;-;5;3;6;7;1;-;-;1;-;5;-;-;-;1;-;2;1;34
"430110 Arroio dos Ratos";-;1;2;-;7;9;4;2;-;4;2;6;2;2;1;1;-;1;6;50
"430130 Arroio Grande";1;1;2;-;14;4;5;1;-;-;2;2;1;3;1;1;-;1;4;43
"430140 Arvorezinha";-;1;3;2;2;2;1;-;-;1;1;2;-;1;-;-;-;2;-;18
"430150 Augusto Pestana";1;1;2;2;5;4;-;-;-;-;1;4;-;4;-;1;-;-;-;25
"430155 Áurea";-;1;1;-;2;3;1;-;-;-;1;2;-;1;-;-;-;1;-;13
"430160 Bagé";5;13;33;15;58;77;43;7;6;9;10;68;5;32;2;5;-;51;15;454
"430163 Balneário Pinhal";-;2;2;-;6;14;2;2;-;-;1;2;-;3;2;1;-;-;-;37
"430165 Barão";-;1;-;-;6;4;2;1;-;-;1;3;-;-;1;-;-;1;1;21
"430170 Barão de Cotegipe";1;-;2;1;4;5;1;-;-;3;1;6;-;3;1;-;-;-;1;29
"430175 Barão do Triunfo";-;1;1;-;2;2;-;-;1;-;-;2;-;1;-;-;-;-;-;10
"430185 Barra do Guarita";-;-;-;-;-;2;1;-;-;-;-;2;-;1;-;-;-;-;-;6
"430187 Barra do Quaraí";-;-;1;-;1;3;1;-;-;1;1;3;-;2;-;-;-;-;2;15
"430190 Barra do Ribeiro";-;-;2;-;7;9;2;-;2;1;-;4;-;1;1;-;-;2;-;31
"430192 Barra do Rio Azul";-;1;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;5
"430195 Barra Funda";-;-;1;-;1;1;1;-;2;-;-;2;1;-;-;-;-;-;-;9
"430180 Barracão";-;-;1;1;1;1;-;-;-;-;-;3;-;-;-;-;-;-;-;7
"430200 Barros Cassal";-;-;2;-;1;2;3;-;-;-;-;6;-;1;-;-;-;-;1;16
"430205 Benjamin Constant do Sul";-;1;-;-;1;2;-;-;-;-;-;3;-;1;-;-;-;-;-;8
"430210 Bento Gonçalves";13;10;28;58;79;89;23;10;17;8;11;86;5;33;11;9;-;86;14;590
"430215 Boa Vista das Missões";-;-;-;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;7
"430220 Boa Vista do Buricá";1;3;1;4;-;7;4;1;-;-;1;2;-;4;-;1;-;-;5;34
"430222 Boa Vista do Cadeado";-;1;1;-;3;2;1;-;-;-;1;1;-;1;1;-;-;-;1;13
"430223 Boa Vista do Incra";-;-;-;-;1;2;2;1;-;-;1;2;-;1;-;-;-;-;-;10
"430225 Boa Vista do Sul";-;1;1;-;2;1;1;1;-;-;1;3;-;2;-;-;-;-;-;13
"430230 Bom Jesus";1;-;7;4;1;6;5;1;-;-;1;6;1;3;-;-;-;-;1;37
"430235 Bom Princípio";2;-;1;4;5;6;2;1;1;1;1;4;2;1;1;1;-;-;-;33
"430237 Bom Progresso";-;-;-;-;1;2;1;-;-;-;1;1;-;1;-;-;-;-;-;7
"430240 Bom Retiro do Sul";1;1;4;4;1;3;3;2;-;-;1;2;-;2;-;-;-;-;-;24
"430245 Boqueirão do Leão";2;-;1;-;-;6;1;-;-;1;1;8;-;-;-;-;-;-;-;20
"430250 Bossoroca";-;1;3;-;2;3;-;-;-;1;-;4;-;-;-;-;-;-;-;14
"430258 Bozano";-;-;1;-;-;1;-;1;-;-;1;2;-;1;-;-;-;-;-;7
"430260 Braga";-;-;-;-;2;3;-;-;-;-;-;2;-;1;-;-;-;-;-;8
"430265 Brochier";-;-;1;1;2;2;2;1;-;-;-;2;1;2;-;-;-;-;-;14
"430270 Butiá";-;1;5;1;6;4;8;1;1;-;1;4;-;1;2;2;-;4;1;42
"430280 Caçapava do Sul";2;1;5;13;3;13;10;2;-;2;-;7;2;8;3;1;-;7;1;80
"430290 Cacequi";-;1;2;3;5;7;-;-;-;1;1;10;-;2;-;-;-;-;2;34
"430300 Cachoeira do Sul";7;8;18;10;53;36;22;7;7;2;5;41;9;19;2;6;-;38;16;306
"430310 Cachoeirinha";22;7;20;9;73;53;12;7;35;4;7;46;35;19;5;14;-;47;8;423
"430320 Cacique Doble";-;-;2;-;5;4;-;-;-;-;-;4;-;1;-;-;-;-;-;16
"430330 Caibaté";2;1;2;1;-;3;1;-;-;1;2;3;-;1;-;-;-;-;-;17
"430340 Caiçara";1;2;1;1;3;6;1;-;-;1;1;5;-;-;-;-;-;-;-;22
"430350 Camaquã";5;4;13;20;34;23;16;5;2;1;3;28;1;8;1;4;-;14;12;194
"430355 Camargo";-;1;1;-;2;2;1;1;-;1;1;3;-;2;-;-;-;-;-;15
"430360 Cambará do Sul";2;-;2;1;3;5;2;-;1;1;-;6;1;2;-;-;-;-;1;27
"430367 Campestre da Serra";-;-;-;-;1;1;1;-;-;1;-;2;-;1;-;-;-;-;-;7
"430370 Campina das Missões";2;-;1;1;1;5;2;-;-;-;1;3;-;1;-;-;-;1;-;18
"430380 Campinas do Sul";1;-;2;1;3;5;3;-;-;1;-;2;-;-;-;-;-;-;-;18
"430390 Campo Bom";6;2;7;11;42;31;10;1;14;8;4;18;16;7;3;6;-;15;6;207
"430400 Campo Novo";1;-;1;1;-;4;1;-;-;-;2;1;-;1;-;1;-;-;-;13
"430410 Campos Borges";-;1;2;-;2;4;1;-;-;-;1;1;-;-;-;-;-;-;-;12
"430420 Candelária";1;2;7;3;8;14;6;-;-;-;3;16;2;4;2;-;-;1;1;70
"430430 Cândido Godói";1;1;1;4;-;4;2;2;-;-;1;2;-;1;-;-;-;-;-;19
"430435 Candiota";-;1;1;-;4;4;2;-;-;2;1;5;-;2;-;-;-;-;1;23
"430440 Canela";5;3;8;9;46;19;10;1;3;4;7;16;3;6;2;4;-;16;2;164
"430450 Canguçu";2;5;5;3;32;16;3;2;-;1;4;33;3;7;2;6;-;12;4;140
"430460 Canoas";47;26;44;103;284;184;61;16;33;11;21;141;55;52;9;54;-;214;14;1369
"430461 Canudos do Vale";-;1;-;-;1;1;-;-;-;1;-;2;-;1;-;-;-;-;-;7
